id,timestamp,mq135,mq2,mq4,mq7,jenis
24821,2025-06-02T14:52:41,0.263,0.323,1.274,2.548,arabika
24822,2025-06-02T14:52:42,0.262,0.322,1.271,2.545,arabika
24823,2025-06-02T14:52:43,0.262,0.323,1.274,2.548,arabika
24824,2025-06-02T14:52:44,0.262,0.323,1.273,2.545,arabika
24825,2025-06-02T14:52:45,0.263,0.324,1.274,2.549,arabika
24826,2025-06-02T14:52:46,0.263,0.324,1.274,2.549,arabika
24827,2025-06-02T14:52:47,0.262,0.323,1.273,2.546,arabika
24828,2025-06-02T14:52:49,0.262,0.323,1.272,2.546,arabika
24829,2025-06-02T14:52:50,0.262,0.323,1.272,2.546,arabika
24830,2025-06-02T14:52:51,0.262,0.324,1.272,2.546,arabika
24831,2025-06-02T14:52:52,0.262,0.324,1.272,2.546,arabika
24832,2025-06-02T14:52:53,0.263,0.324,1.274,2.55,arabika
24833,2025-06-02T14:52:54,0.263,0.325,1.274,2.551,arabika
24834,2025-06-02T14:52:55,0.263,0.325,1.274,2.552,arabika
24835,2025-06-02T14:52:56,0.263,0.325,1.275,2.552,arabika
24836,2025-06-02T14:52:57,0.263,0.325,1.273,2.549,arabika
24837,2025-06-02T14:52:58,0.263,0.325,1.273,2.549,arabika
24838,2025-06-02T14:52:59,0.263,0.325,1.273,2.55,arabika
24839,2025-06-02T14:53:00,0.263,0.325,1.273,2.55,arabika
24840,2025-06-02T14:53:01,0.263,0.326,1.273,2.55,arabika
24841,2025-06-02T14:53:02,0.263,0.326,1.274,2.554,arabika
24842,2025-06-02T14:53:03,0.263,0.326,1.275,2.555,arabika
24843,2025-06-02T14:53:05,0.263,0.326,1.275,2.555,arabika
24844,2025-06-02T14:53:06,0.263,0.327,1.276,2.556,arabika
24845,2025-06-02T14:53:07,0.264,0.327,1.276,2.556,arabika
24846,2025-06-02T14:53:08,0.263,0.327,1.276,2.556,arabika
24847,2025-06-02T14:53:09,0.264,0.327,1.276,2.557,arabika
24848,2025-06-02T14:53:10,0.264,0.327,1.276,2.557,arabika
24849,2025-06-02T14:53:11,0.264,0.327,1.276,2.557,arabika
24850,2025-06-02T14:53:12,0.263,0.326,1.274,2.554,arabika
24851,2025-06-02T14:53:13,0.263,0.326,1.274,2.554,arabika
24852,2025-06-02T14:53:14,0.263,0.326,1.274,2.552,arabika
24853,2025-06-02T14:53:15,0.263,0.327,1.274,2.555,arabika
24854,2025-06-02T14:53:16,0.263,0.327,1.274,2.555,arabika
24855,2025-06-02T14:53:17,0.263,0.327,1.275,2.557,arabika
24856,2025-06-02T14:53:18,0.264,0.327,1.276,2.56,arabika
24857,2025-06-02T14:53:20,0.264,0.328,1.277,2.561,arabika
24858,2025-06-02T14:53:21,0.264,0.328,1.277,2.562,arabika
24859,2025-06-02T14:53:22,0.264,0.328,1.277,2.562,arabika
24860,2025-06-02T14:53:23,0.264,0.327,1.276,2.559,arabika
24861,2025-06-02T14:53:24,0.264,0.328,1.276,2.559,arabika
24862,2025-06-02T14:53:25,0.264,0.328,1.276,2.56,arabika
24863,2025-06-02T14:53:26,0.264,0.328,1.276,2.559,arabika
24864,2025-06-02T14:53:27,0.264,0.328,1.278,2.563,arabika
24865,2025-06-02T14:53:28,0.264,0.329,1.278,2.564,arabika
24866,2025-06-02T14:53:29,0.264,0.329,1.278,2.565,arabika
24867,2025-06-02T14:53:30,0.264,0.329,1.278,2.565,arabika
24868,2025-06-02T14:53:31,0.264,0.329,1.278,2.565,arabika
24869,2025-06-02T14:53:32,0.264,0.329,1.277,2.562,arabika
24870,2025-06-02T14:53:34,0.264,0.329,1.277,2.562,arabika
24871,2025-06-02T14:53:35,0.264,0.329,1.277,2.563,arabika
24872,2025-06-02T14:53:36,0.264,0.33,1.277,2.563,arabika
24873,2025-06-02T14:53:37,0.264,0.33,1.277,2.563,arabika
24874,2025-06-02T14:53:38,0.265,0.33,1.279,2.567,arabika
24875,2025-06-02T14:53:39,0.265,0.331,1.279,2.567,arabika
24876,2025-06-02T14:53:40,0.265,0.331,1.279,2.568,arabika
24877,2025-06-02T14:53:41,0.265,0.331,1.28,2.568,arabika
24878,2025-06-02T14:53:42,0.265,0.331,1.278,2.566,arabika
24879,2025-06-02T14:53:43,0.265,0.331,1.278,2.565,arabika
24880,2025-06-02T14:53:44,0.265,0.331,1.278,2.565,arabika
24881,2025-06-02T14:53:45,0.265,0.331,1.278,2.566,arabika
24882,2025-06-02T14:53:46,0.265,0.331,1.278,2.567,arabika
24883,2025-06-02T14:53:47,0.265,0.332,1.28,2.57,arabika
24884,2025-06-02T14:53:48,0.265,0.332,1.28,2.57,arabika
24885,2025-06-02T14:53:50,0.265,0.332,1.28,2.571,arabika
24886,2025-06-02T14:53:51,0.265,0.332,1.28,2.569,arabika
24887,2025-06-02T14:53:52,0.266,0.332,1.28,2.572,arabika
24888,2025-06-02T14:53:53,0.266,0.332,1.281,2.572,arabika
24889,2025-06-02T14:53:54,0.266,0.332,1.281,2.573,arabika
24890,2025-06-02T14:53:55,0.266,0.332,1.281,2.573,arabika
24891,2025-06-02T14:53:56,0.266,0.333,1.282,2.573,arabika
24892,2025-06-02T14:53:57,0.265,0.332,1.28,2.571,arabika
24893,2025-06-02T14:53:58,0.266,0.332,1.28,2.571,arabika
